Original HS Code,Original HS Classification,Description in Original Classification,Consolidated HS code
282733,1996,Other chlorides:-- Of iron,282739
282733,2002,Of iron,282739
282734,1996,Other chlorides:-- Of cobalt,282739
282734,2002,Of cobalt,282739
282736,1996,Other chlorides:-- Of zinc,282739
282736,2002,Of zinc,282739
283020,1996,Zinc sulphide,283090
283020,2002,Zinc sulphide,283090
283030,1996,Cadmium sulphide,283090
283030,2002,Cadmium sulphide,283090
283323,1996,Other sulphates:-- Of chromium,283329
283323,2002,Of chromium,283329
283326,1996,Other sulphates:-- Of zinc,283329
283326,2002,Of zinc,283329
283529,1996,Phosphates:-- Other,283523
283529,2002,Other,283523
283529,2007,Phosphates (excl. of 2835.22-2835.26),283523
283610,1996,Commercial ammonium carbonate and other ammonium carbonates,283699
283610,2002,Commercial ammonium carbonate and other ammonium carbonates,283699
283670,1996,Lead carbonate,283699
283670,2002,Lead carbonates,283699
283990,1996,Other,283920
283990,2002,Other,283920
283990,2007,Silicates other than of sodium; commercial alkali metal silicates,283920
284190,1996,Other,284110
284190,2002,Other,284110
284190,2007,Salts of oxometallic/peroxometallic acids (excl. of 2841.30-2841.80),284110
290316,1996,"Saturated chlorinated derivatives of acyclic hydrocarbons:-- 1,2-Dichloropropane (propylene dichloride) and dichlorobutanes",290319
290331,2007,"Ethylene dibromide (ISO) (1,2-dibromoethane)",290330
290339,2007,Fluorinated/brominated/iodinated derivatives of acyclic hydrocarbons (excl. of 2903.31),290330
290352,2007,"Aldrin (ISO), chlordane (ISO)&heptachlor (ISO)",290359
290519,1996,Saturated monohydric alcohols:-- Other,290515
290519,2002,Other,290515
290519,2007,Saturated monohydric alcohols (excl. of 2905.11-2905.17),290515
290551,2002,Ethchlorvynol (INN),290550
290551,2007,Ethchlorvynol (INN),290550
290559,2002,Other,290550
290559,2007,"Halogenated/sulphonated/nitrated/nitrosated derivatives of acyclic alcohols, other than ethchlorvynol (INN)",290550
290619,1996,"Cyclanic, cyclenic or cycloterpenic:-- Other",290614
290619,2002,Other,290614
290619,2007,Cyclanic/cyclenic/cycloterpenic alcohols & their halogenated/sulphonated/nitrated/nitrosated derivatives (excl. of 2906.11-2906.13),290614
290719,1996,Monophenols :-- Other,290714
290719,2002,Other,290714
290719,2007,Other monophenols,290714
290730,1996,Phenol-alcohols,290729
290811,2007,Pentachlorophenol (ISO),290810
